grTitle,enTitle,longitude,latitude
"Μακεδονικός Τάφος Γ στην Πέλλα","Macedonian Tomb C at Pella","22.559094","40.738966"
"Μακεδονικός Τάφος Δ στην Πέλλα","Macedonian Tomb D at Pella","22.550876","40.74199"
"Μακεδονικός Τάφος της Κρίσεως στη Νάουσα","Mieza, the so-called macedonian tomb of Jugdment","22.136346","40.654072"
"Μακεδονικός Τάφος  των Λύσωνος και Καλλικλέους στη Νάουσα","Mieza, the macedonian Tomb of Lyson and Kallikles","22.127608","40.652568"
"Μακεδονικός τάφος στη Σταυρούπολη","Macedonian Tomb at Stavroupolis","24.72192","41.183677"
"Μακεδονικός τάφος Συμβόλων","Macedonian tomb at Symbola","25.413364","41.18059"
"Μινωική έπαυλη Βαθυπέτρου","Minoan villa at Vathypetro","25.15079","35.209716"
"Μέγαρο Φυτάκη","Phytakis Megaron","25.138354","35.340726"
"Μεταλλευτικό Συγκρότημα Καμάριζας Λαυρίου","Mining Complex of Camariza in Lavrion","24.01345","37.72451"
"Μνημείο Λυσικράτους","Lusikrates Monument","23.72994","37.971107"
"Μνημείο Φιλοπάππου","Philopappos Monument","23.72143","37.967368"
"Μονή Κοίμησης της Θεοτόκου στο Δαμάνδρι","Monastery of the Koimisi tis Theotokou at Damandri","26.221692","39.084294"
"Παρθενώνας","Parthenon","23.726601","37.971527"
"Κάστρο Πατρών","Fortress of Patras","21.742855","38.24537"
"Κάστρο Μενδενίτσας","Castle of Mendenitsa","22.615362","38.753096"
"Κάστρο Παράλιου Άστρους","Castle of Paralion Astros","22.766354","37.418419"
"Κάστρο Νερατζιάς","Castle of Neratzia","27.290144","36.896259"
"Αρχοντικό του Γεωργίου Σβαρτς στα Αμπελάκια","Georgios Schwartz mansion at Ampelakia","22.556275","39.853482"
"Τείχος πόλης Δίου στο Δίον","Walls of Dion","22.486289","40.177316"
"Ερέχθειο","Erechtheion","23.726408","37.972109"
"Προπύλαια","Propylaea","23.72512","37.971737"
"Πόλη Δίου","City of Dion","22.483671","40.171725"
"Μεγάλες θέρμες στο Δίον","Great thermae of Dion","22.491782","40.176119"
"Έπαυλη του Διονύσου στο Δίον","Villa of Dionysos","22.4922","40.178816"
"Ιερό Δήμητρας στο Δίον","Sanctuary of Demeter","22.493606","40.175348"
"Ιερό Ολυμπίου Διός στο Δίον","Sanctuary of Zeus Olympios","22.494185","40.171512"
"Ιερό Ίσιδας στο Δίον","Sanctuary of Isis","22.495494","40.176381"
"Ναός της Αθηνάς Νίκης","Temple of Athena Nike","23.724882","37.971551"
"Ελληνιστικό θέατρο στο Δίον","Ancient Theatre of Dion","22.491868","40.172315"
"Ρωμαϊκό θέατρο στο Δίον","Roman Theatre of Dion","22.495515","40.170741"
"Μακεδονικοί τάφοι στο Δίον","Necropolis of Dion","22.484175","40.177127"
"Βραυρώνιο","Brauronion","23.725308","37.971536"
"Βουλευτήριο Δωδώνης","Bouleuterion","20.471592","39.324718"
"Ναός Παναγίας Παρηγορήτισσας Άρτας","Church of Panagia Parigoritissa at Arta","20.9835","39.1588"
"Καθολικό Μονής Οσίου Λουκά στο Στείρι","Monastery of Osios Loukas at Steiri","22.746736","38.395351"
"Ναός Παναγίας της Κεράς (Κοίμηση της Θεοτόκου) στην Κριτσά","Church of Panagia Kera at Kritsa","25.655061","35.156741"
"Νέα Μονή Χίου","Nea Moni at Chios","26.055534","38.373981"
"Πρυτανείο Δωδώνης","Prytaneion of Dodoni","20.471592","39.324718"
"Αρχαίο θέατρο Δωδώνης","Ancient Theatre of Dodoni","20.4713","39.3248"
"Αρχαίο στάδιο Δωδώνης","Ancient Stadium of Dodoni","20.4713","39.3248"
"Ναός της Διώνης στη Δωδώνη","Temple of Dioni at Dodoni","20.471592","39.324718"
"Ναός του Ηρακλή στη Δωδώνη","Temple of Hercules at Dodoni","20.471592","39.324718"
"Ναός της Θέμιδας στη Δωδώνη","Temple of Themis at Dodoni","20.471592","39.324718"
"Ναός της Αφροδίτης στη Δωδώνη","Temple of Venus at Dodoni","20.471592","39.324718"
"Ακρόπολη Δωδώνης","Acropolis of Dodoni","20.4713","39.3248"
"Τάφος  Φιλίππου Β΄ στις  Αιγές","Aigai, The tomb of Philipp II","22.319463","40.487779"
"Ναός Επικούριου Απόλλωνα","Temple of Apollo Epikourios","21.900387","37.429655"
"Δωρικός Ναός στο Καρδάκι","Doric Temple at Kardaki","19.5128","39.3555"
"Αρχοντικό Παύλου Κουντουριώτη","Pavlos Kountouriotis Mansion","23.463487","37.351004"
"Ανεμόμυλος Περάματος Γέρας","Windmill of Perama, Geras","26.503094","39.046848"
"Φούρνος Μεσαγρού","Mesagros Bakery","26.445061","39.036161"
"Ναός του Απόλλωνα στους Δελφούς","Temple of Apollo at Delphi","22.501279","38.482269"
"Θολωτός τάφος Β΄ Κραννώνας","Tholos tomb Β at Krannonas","22.305331","39.493303"
"Μινωική έπαυλη στη θέση \"Πλακάκια\" Αγίου Στεφάνου Μακρύ Γιαλού","Minoan villa in Plakakia of Makry Gialos","25.967128","35.037888"
"Σπήλαιο Κουτούκι","Cave Koutouki","23.828718","37.946109"
"Σπήλαιο Βλυχάδα ή Γλυφάδα","cave Vlychada or Glyfada","22.380652","36.638164"
"Αψίδα Γαλερίου","Triumph Arch of Galerius","22.951737","40.63224"
"Μακεδονικός τάφος Φοίνικα","Macedonian tomb at Phinikas","22.73458","40.711043"
"Μακεδονικός τάφος στον Άγιο Αθανάσιο","Macedonian tomb at Agios Athanasios","22.728328","40.71677"
"Κάστρο Λαμίας","Castle of Lamia","22.435015","38.904034"
"Ανδριάντας Λεωνίδα","Statue of Leonidas","22.536561","38.796795"
"Μεσαιωνικό Κάστρο στη Λειβαδιά","Medieval Fortress of Livadia","22.870974","38.429207"
