grTitle,enTitle,longitude,latitude
"Μονή Προφήτη Ηλία","Monastery of Profitis Ilias","22.441442","38.504688"
"Μονή Αγάθωνος","Agathonos Monastery","22.204466","38.867233"
"Μονή Δαμάστας","Monastery of Damasta","22.477899","38.773508"
"Μονή Παναγίας Μελινίντζης","Monastery of the Panagia at Melinintza","23.235161","38.627482"
"Γέφυρα Πορταϊκού Πύλης","Portaikos bridge at Pyli","21.60051","39.460476"
"Ναός Αγίων Αναργύρων (Κοσμά και Δαμιανού) στο Βαρούσι","Church of Agioi Anargiroi (Kosmas and Damianos) at Varousi","21.763739","39.558043"
"Βυζαντινό ΚάστροΤρικάλων, παλιά πόλη Βαρούσι","Byzantine Castle in Trikala and old city of Varousi","21.762822","39.55776"
"Ανάκτορο Δημητριάδας","The Demetrias palace","22.932938","39.342586"
"Νομαρχιακό Μέγαρο Ρεθύμνου","Provincial Mansion at Rethymno","24.469529","35.369673"
"Αρχαιολογικός Χώρος Αφαίας Αίγινας","Archaeological site of Aphaia, Aigina","23.533324","37.754273"
"Γόρτυνα","Gortyna","24.949458","35.060067"
"Ολυμπία","Olympia","21.629698","37.637956"
"Άβδηρα","Abdera","24.975539","40.932628"
"Αρχαιολογικός Χώρος Αιγών","Aigai, the archaeological site","22.322513","40.478737"
"Φαιστός","Phaistos","24.813915","35.051772"
"Δωδώνη","Dodonι","20.471592","39.324718"
"Πυθαγόρειο και Ηραίο Σάμου","The Heraion and Pythagoreion of Samos","26.886635","37.672043"
"Αρχαιολογικός Χώρος Γουρνιών","Archaeological site in Gournia","25.792922","35.109813"
"Κνωσός","Knossos","25.161607","35.298291"
"Βιβλιοθήκη Αδριανού","Hadrian's Library","23.72596","37.975716"
"Ελάτεια","Elateia","22.78011","38.642384"
"Ελευσίνα","Archeaological site of Eleusis","23.537822","38.041332"
"Αρχαιολογικός χώρος Ασκληπιείου  Επιδαύρου","Sanctuary of Asklepios at Epidaurus","23.0775","37.5963"
"Αρχαιολογικός χώρος Ζάκρου","Archaeological site in Zakros","26.261506","35.098019"
"Δημητριάδα","Demetrias","22.932121","39.342722"
"Ιερό Απόλλωνα Πτώου στο Ακραίφνιο","Akraiphnion - Ptoon","23.225441","38.448329"
"Επισκοπή Τεγέας","Archaeological Site of Episkopi at Tegea","22.429265","37.464595"
"Αρχοντικό Γιαννιτσών","Archaeological site of Archontikon at Giannitsa","22.467942","40.785741"
"Λέρνα","Lerna","22.718214","37.551195"
"Τίρυνθα","Tiryns","22.800193","37.599466"
"Λίνδος","Lindos","28.088688","36.09164"
"Ακρόπολη Αθηνών","Acropolis of Athens","23.726738","37.971851"
"Μάλια","Malia","25.492197","35.293455"
"Τύλισος","Tylisos","25.020441","35.298495"
"Αρχαία Κόρινθος","Ancient Corinth","22.881398","37.907426"
"Σούνιο","Souniοn","24.024659","37.650221"
"Ραμνούς","Ramnous","24.027823","38.217578"
"Κεραμεικός","Kerameikos","23.717962","37.978573"
"Ιαλυσός","Ialysos","28.143738","36.39923"
"Κάμιρος","Kamiros","27.921281","36.33622"
"Ασκληπιείο Κω","The sanctuary of Asklepios at Epidaurus","27.257166","36.875926"
"Αρχαιολογικός Χώρος του Μυστρά","Archaeological site of Mistras","22.375796","37.069526"
"Πέλλα","Pella","22.513947","40.760521"
"Ήλιδα","Elis","21.374926","37.891306"
"Ρωμαϊκή Αγορά Αθηνών","Roman Agora of Athens","23.726386","37.974262"
"Αμφίπολις","Amphipolis","23.847209","40.820159"
"Ακαδημία Πλάτωνος","Plato's Academy","23.705835","37.992567"
"Άκανθος","Acanthos","23.888562","40.391857"
"Νότια Κλιτύς Ακροπόλεως Αθηνών","South Slope of Acropolis","23.725426","37.971069"
"Ακρωτήρι Θήρας","Akrotiri of Thera","25.397217","36.358278"
"Ακρόπολη Αλιέων","Acropolis of Halieis","23.149137","37.313289"
"Αλίφειρα","Alipheira","21.865454","37.52977"
"Αμφιάρειο στον Ωρωπό","Amphiareio, Oropos","23.846141","38.291014"
"Ανεμόσπηλια","Anemospelia","25.144212","35.23984"
"Αμνισός","Amnissos","25.223612","35.329989"
"Βραυρώνα","Brauron","23.993572","37.926265"
"Μυκηναϊκή Ακρόπολη Γλα στο Κάστρο","Mycenaean Acropolis of Glas","23.182896","38.484048"
"Αρχάνες","Archanes","25.157049","35.245709"
"Ασίνη","Archaeological site of Asine","22.8743","37.5275"
"Κρίσσα","Krissa","22.468921","38.475411"
"Αρχαιολογικός χώρος αρχαίας Δολίχης","Archaeological site of Ancient Doliche at Elassona","22.085867","40.063621"
"Αρχαιολογικός χώρος αρχαίας Κραννώνας","Archaeological site of ancient Κrannon","22.301559","39.503114"
"Ακρόπολη Φαρσάλου","Acropolis at Pharsala","22.387819","39.288193"
"Μετέωρα","Meteora","21.628475","39.717883"
"Αρχαιολογικός Χώρος στο Παλαίκαστρο Σητείας","Archaeological Site in Palekastro of Siteia","26.276268","35.196519"
"Αρχαιολογικός χώρος στη Λατώ","Archaeological Site in Lato","25.656128","35.179352"
"Αρχαιολογικός Χώρος στον Πετρά Σητείας","Archaeological Site in Petras","26.11543","35.198067"
"Αρχαιολογικός Χώρος στη νησίδα Μόχλου Σητείας","Archaeological Site in the islet Mochlos of Siteia","25.904988","35.183185"
"Αρχαιολογικός χώρος Κολώνας","Kolona","23.423356","37.750224"
"Θέρμος","Thermos","21.668401","38.559643"
"Κοιλάδα των Μουσών στην Άσκρη","Valley of the Muses Askra","23.059131","38.321266"
"Αρχαία Αγορά Θεσσαλονίκης","Ancient Agora of Thessaloniki","22.945767","40.637771"
"Θήβα","Thebes","23.317709","38.320919"
"Ποσείδι","Poseidi","23.36164","39.958962"
"Μένδη","Mende","23.418903","39.962331"
"Στάγειρα","Stageira","23.794208","40.591191"
"Ιερό Απόλλωνα-Ήλιου","Sanctuary of Apollon Helios","23.912189","40.376747"
"Αρχαία Ακρόπολη και βυζαντινός οικισμός στη Θίσβη","Thisbe","22.96811","38.259864"
"Τούμπα Θεσσαλονίκης","Toumba at Thessaloniki","22.971586","40.618428"
"Θορικός στη Λαυρεωτική","Thorikos, Lavreotike","24.05389","37.738404"
"Ιερά Απόλλωνος Δειραδιώτη και Αθηνάς Οξυδερκούς","Sanctuaries of Apollo Deiradiotes and Athena Oxyderkes","22.7205","37.6419"
"Λείβηθρα στη Λεπτοκαρυά","Leivithra","22.534665","40.024427"
"Αρχαία Αγορά Αθηνών - Άρειος Πάγος","Ancient Agora of Athens","23.72321","37.974528"
"Δασκαλόπετρα στον Βροντάδο","Vrontados Daskalopetra","26.133969","38.42031"
"Ολυμπιείο","Olympieio","23.73299","37.969825"
"Ιερό Αρτέμιδος στον Αύλωνα Μύρινας","Sanctuary of Artemis at Avlonas in Myrina","25.062149","39.893997"
"Βυζαντινό Φρούριο στο Παλαιό Γυναικόκαστρο","Byzantine Fortress at Palaio Gynaikokastro","22.741826","40.942239"
"Παλατιανό","Palatiano","22.903638","41.145884"
"Γλύφα (Νεκροταφείο ταφικών κύκλων)","Glyfa (Necropolis of Grave Circles)","22.998866","38.972561"
"Ανδρών","Antron","22.99852","38.972769"
"Σέσκλο","Sesklo","22.8423","39.3556"
"Διμήνι","Dimini","22.893062","39.361677"
"Νεολιθικός οικισμός στο Μακρύγιαλο","Neolithic settlement of Makrygialos","22.602975","40.414852"
"Φθιώτιδες Θήβες","Fthiotides Thebes","22.762119","39.272936"
"Ακρόπολη του αρχαίου Κιερίου στον Πύργο Κιερίου","Acropolis of Pyrgos Kieriou","22.066225","39.367028"
"Δελφοί","Delphi","22.500215","38.482015"
"Δίον","Dion","22.491245","40.176496"
"Βυζαντινή Μαρώνεια","Byzantine Maronia","25.51005","40.874454"
"Κάστρο Ηγουμενίτσας","Fortress of Igoumenitsa","20.265022","39.500613"
"Κάστρο Παραμυθιάς","Fortress of Paramythia","20.519907","39.472841"
"Αρχαιολογικός χώρος Καβειρίου στην περιοχή Χλόη","Archaelogical site of Kabeirion at Chloe area","25.340867","39.979062"
"Παλαιοχριστιανικές Βασιλικές Σφηκιάς","Early Christian basilicas of Sfikia","22.207757","40.38065"
"Αρχαιολογικός χώρος Πολιόχνης στην περιοχή Καμίνια","Archaeological site of Poliochni at Kaminia area","25.344095","39.854272"
"Λάρυμνα","Larymna","23.288441","38.566103"
"Ιερό Αρτέμιδος Λαφρίας","Sanctuary of Artemis Laphria","21.530108","38.372086"
"Λεβήνα","Levena","24.923046","34.930625"
"Λέπρεο","Lepreum","21.724461","37.440053"
"Ακοβίτικα","Akovitika","22.07568","37.036522"
"Ιερό της Δέσποινας - Λυκόσουρα","Sanctuary of Despoina at Lykosoura","22.031611","37.389987"
"Μάλθη","Malthe","21.882346","37.267048"
"Μαντίνεια","Mantineia","22.391896","37.618413"
"Αναστασιούπολις - Περιθεώριον","Anastasioupolis-Peritheorion","25.090413","41.102606"
"Αρχαία Μαρώνεια","Ancient Maroneia","25.51506","40.877667"
"Μεγαλόπολη","Megalopolis","22.126325","37.413766"
"Μενελάειον Σπάρτης","Menelaeon, Sparta","22.453806","37.066357"
"Αρχαία Μεσσήνη - Αρχαιολογικός Χώρος","Ancient Messene","21.92487","37.17892"
"Ανάκτορο Νέστορος","Palace of Nestor","21.695876","37.027895"
"Αρχαία Μήθυμνα στον Μόλυβο","Ancient Methymna in Molyvos","26.170005","39.369995"
"Αρχαία Αγορά Άργους","Ancient Agora of Argos","22.721035","37.630634"
"Αρκάσα Καρπάθου","Arkasa in  Karpathos","27.11385","35.47462"
"Νεκρόπολη Αρμένων","Necropolis at Armenoi","24.463149","35.317708"
"Μυκήνες","Mycenae","22.7557","37.730734"
"Νικόπολη στην Πρέβεζα","Ancient Nikopolis","20.731759","39.01945"
"Νιχώρια - Καρποφόρα","Nichoria - Karpophora","21.910944","36.998166"
"Νυμφαίο - Σχολή Αριστοτέλους","Aristotle's School - Nymphaion","22.097828","40.631352"
"Όρραον στον Γυμνότοπο Πρέβεζας","Orraon (Horreum)","20.925136","39.271293"
"Παλαιοχριστιανική Νικόπολη","Early Christian Nicopolis","20.734699","39.011048"
"Πνύκα","Pnyx","23.719397","37.971301"
"Ιερό Ποσειδώνος στην Καλαυρεία Πόρου","Sanctuary of Poseidon","23.480068","37.522618"
"Έδεσσα","Edessa","22.057241","40.796483"
"Ελέα στην Παραμυθιά","Elea, Paramythia","20.553703","39.441048"
"Ελεύθερνα","Eleutherna","24.668006","35.327648"
"Ελληνικά Ανθείας - Αρχαία Θουρία","Ellinika at Anthia - Ancient Thouria","22.051245","37.113557"
"Εμποριό","Archaelogical site of Emporio","26.031616","38.19265"
"Ακρόπολη Πλατιάνας","Acropolis at Platiana","21.752715","37.540354"
"Αρχαιολογικός Χώρος Καβείριου στη Θήβα","Kabireion (Sanctuary of the Kabeiroi)","23.255195","38.318333"
"Ποτίδαια","Potidaia","23.32884","40.192836"
"Πύργος Ραγίου στην Ηγουμενίτσα","Tower of Ragio, Igoumenitsa","20.198393","39.536433"
"Ακρόπολη Ρόδου","Acropolis of Rhodes","28.211836","36.439237"
"Ακρόπολη Αρχαίων Σιφών στην Αλυκή","Acropolis of Ancient Siphai in Alykh","23.0515","38.190023"
"Ακρόπολη Σπάρτης","Acropolis of Sparta","22.42692","37.083802"
"Ιερό Ορθίας Αρτέμιδος","Sanctuary of Artemis Orthia","22.444932","37.075655"
"Οχυρή νησίδα Σπιναλόγκα","Fortified islet of Spinalonga","25.736511","35.297972"
"Τορώνη","Toroni","23.907541","39.967527"
"Αρχαιολογικός χώρος Αρχαίας Τρίκκης (\"Ασκληπιείο\") Τρικάλων","Site of ancient Trikki (\"Asklepieion\") at Trikala","21.764801","39.556612"
"Αρχαιολογικός Χώρος Τρυπητού Σητείας","Archaeological Site in Trypetos of Siteia","26.13027","35.197203"
"Ακρόπολη Καζάρμας","Acropolis of Kazarma","22.9431","37.5965"
"Φαλάσαρνα στην Κίσαμο","Phalasarna","23.575834","35.51057"
"Φεραί","Ferai","22.749038","39.378696"
"Παλαιοχριστιανικές Φθιώτιδες Θήβες","Early Christian Phthiotic Thebes","22.81877","39.27685"
"Φιγάλεια","Figaleia","21.839577","37.402287"
"Χαιρώνεια","Chaironeia","22.844074","38.492093"
"Μυκηναϊκός οικισμός Χαλανδρίτσας","Mycenaean settlement at Chalandritsa","21.787809","38.108355"
"Πόλη Χανίων (Κυδωνία)","","24.019485","35.517291"
"Ψάρι","Psari","21.888885","37.327576"
"Αμυκλαίον και Ιερό Απόλλωνος Αμυκλαίου","Amyklaion and Sanctuary of Apollo Amyklaios","22.449585","37.036918"
"Καμενίτσα Γορτυνίας","Kamenitsa Gortynias","22.193338","37.749259"
"Κάμπος Ικαρίας - αρχαία Οινόη","Kampos Ikarias - ancient Oinoe","26.14627","37.630284"
"Κάμπος Χίου","Kambos in Chios","26.129922","38.332713"
"Κασσώπη στην Καμαρίνα Πρέβεζας","Cassope","20.673759","39.145572"
"Ορχομενός Αρκαδίας","Orchomenos at Arcadia","22.315266","37.72473"
"Ορχομενός","Orchomenos","22.974947","38.493268"
"Αρχαιολογικός Χώρος Κάστρου Γερακίου","Archaeological site of Geraki castle","22.725048","36.994018"
"Γίτανα στους Φιλιάτες","Gitana, Filiates","20.262651","39.574129"
"Ακρόπολη Πανοπέως στον Άγιο Βλάσιο","Acropolis of Panopeus ιν in Agios Blasis","22.83607","38.492051"
"Παπίκιον όρος","Mount Papikion","25.303402","41.221535"
"Πελλάνα Λακωνίας","Archaeological Site of Pellana","22.32554","37.208225"
"Πέτρες","Petres","21.657969","40.723844"
"Αρχαία Ακρόπολη Πλαταιών","Plataiai","23.276725","38.218551"
"Ιερό Αλέας Αθηνάς Τεγέας","Sanctuary of Alea Athena at Tegea","22.25133","37.27202"
"Βυζαντινή Ακρόπολη Σερρών","Byzantine acropolis of Serres","23.551126","41.097272"
"Κάτω Φανά","Kato Fana","25.927179","38.206811"
"Κάτω Σαμικό","Kato Samiko","21.598708","37.53399"
"Καφυές","Kaphyes at Hotousas Mantineias","22.394219","37.621328"
"Ακρόπολη Κορσιών στα Χώστια (Πρόδρομος)","Korsiai","22.904853","38.254543"
"Αρχαιολογικός Χώρος στη νησίδα Κουφονήσι","Archaeological Site in the islet of Koufonisi","26.134983","34.935446"
"Παλαιόκαστρο Καστελόριζου","Palaiokastro","29.576979","36.148033"
"Βαρκά Υπάτης","Varka at Ypati","22.267917","38.886031"
"Δαφνούσια Λοκρίδας","Daphnousa at Lokris","22.951233","38.749017"
"Άλος","Halos","22.826577","39.147914"
"Αρχαιολογικός χώρος στο λόφο Γορίτσας","Archaeological Site at Goritsa Hill","22.980657","39.356158"
"Αρχαιολογικό Μουσείο Πατρών","Archaeological Museum of Patras","21.752082","38.263315"
"Εθνικό Αρχαιολογικό Μουσείο","National Archaeological Museum","23.732035","37.989162"
"Αρχαιολογικό Μουσείο Αμφιπόλεως","Archaeological Museum of Amphipolis","23.848754","40.825111"
"Πινακοθήκη Αβέρωφ","Averoff Gallery","21.183067","39.770552"
"Αρχαιολογικό Μουσείο Αγρινίου","Archaeological Museum of Agrinion","21.4092","38.6304"
"Πινακοθήκη Δήμου Αθηναίων","Athens Municipal Gallery","23.721374","37.980874"
"Αρχαιολογικό Μουσείο Κολώνας Αίγινας","Archaeological Museum of Kolona Aigina","23.42471","37.749679"
"Αρχαιολογικό Μουσείο Αιγίου","Archaeological Museum of Aigion","22.087881","38.25273"
"Λαογραφικό Μουσείο Βέροιας","Folklore Museum of Beroia","22.203575","40.521672"
"Μουσείο Βορρέ","Vorres Museum","23.847107","37.953225"
"Υπαίθριο Μουσείο Υδροκίνησης","Open-Air Water Power Museum","22.057239","37.578783"
"Εβραϊκό Μουσείο Ελλάδος","Jewish Museum of Greece","23.733094","37.97294"
"Ιδιωτική Συλλογή Έργων Τέχνης Εθνικής Τραπέζης","Art Collection of the National Bank","23.728902","37.981695"
"Αθανασάκειο Αρχαιολογικό Μουσείο Βόλου","Athanasakio Archaeological Museum of Volos","22.961424","39.351971"
"Μουσείο Βυζαντινού Πολιτισμού","Museum of Byzantine Culture","22.955212","40.624254"
"Λαογραφικό και Εθνολογικό Μουσείο Μακεδονίας - Θράκης","Folk Art and Ethnological Museum of Macedonia and Thrace","22.957056","40.659489"
"Εθνικό Ιστορικό Μουσείο","National Historical Museum","23.732695","37.977695"
"Μουσείο Ζακύνθου","Museum of Zakynthos","20.899531","37.787308"
"Αρχαιολογική Συλλογή Μονεμβασιάς","Monemvasia Archaeological Collection","23.05541","36.687248"
"Μουσείο Κινηματογράφου Θεσσαλονίκης","Thessaloniki Cinema Museum","22.93353","40.633101"
"Φούρνος Μεσαγρού","Mesagros Bakery","26.445022","39.036265"
"Μουσείο Φυσικής Ιστορίας Απολιθωμένου Δάσους Λέσβου","Natural History Museum of the Petrified Forest of Lesbos","25.851043","39.211582"
"Αρχαιολογικό Μουσείο Άρτας","Archaeological Museum of Arta","20.979432","39.149595"
"Μουσείο Αρχαίας Αγοράς Αθηνών","Museum of the Ancient Agora","23.724195","37.975206"
"Αρχαιολογικό Μουσείο Αρχαίας Κορίνθου","Archaeological Museum of Ancient Corinth","22.881471","37.907553"
"Αρχαιολογική Συλλογή Κοζάνης","Archaeological Collection of Kozani","21.785011","40.30289"
"Αρχαιολογικό Μουσείο Άστρους","Archaeological Museum of Astros","22.720692","37.406746"
"Αρχαιολογικό Μουσείο Αστυπάλαιας","Archaeological Museum of Astypalaia","26.35244","36.548947"
"Μουσείο βασιλικών τάφων Αιγών","The Museum of the Royal Tombs at Aigai","22.319331","40.487507"
"Αρχαιολογικό Μουσείο Βέροιας","Archaeological Museum of Veria","22.207499","40.527452"
"Βυζαντινό Μουσείο Βέροιας","Byzantine Museum of Veria","22.204586","40.520414"
"Αρχαιολογικό Μουσείο Σπάρτης","Archaeological Museum of Sparta","22.431848","37.074778"
"Αρχαιολογικό Μουσείο Σητείας","Archaeological Museum of Siteia","26.105159","35.20509"
"Αρχαιολογικό Μουσείο Λευκάδας","Archaeological Museum of Lefkada","20.704308","38.83488"
"Αρχαιολογικό Μουσείο Ρεθύμνου","Archaeological Museum of Rethymno","24.282763","35.220626"
"Αρχαιολογικό Μουσείο Βαθέος Σάμου","Archaeological Museum of Vathi in Samos","26.979632","37.75046"
"Αρχαιολογικό Μουσείο Ήλιδας","Archaeological Museum of Elis","21.376943","37.892953"
"Αρχαιολογικό Μουσείο Θυρρείου","Archaeological Museum of Thyrreion","20.9852","38.8554"
"Βυζαντινό Μουσείο Φθιώτιδας","Byzantine Museum of Phthiotida","22.237181","38.871899"
"Μουσείο Ελληνικής Λαϊκής Τέχνης","Museum of Greek Folk Art","23.732392","37.972508"
"Μουσείο Παύλου και Αλεξάνδρας Κανελλοπούλου","Museum of Pavlos and Alexandra Canellopoulou","23.725965","37.972906"
"Αρχαιολογικό Μουσείο Λαυρίου","Archaeological Museum of Laurion","24.053891","37.716788"
"Αρχαιολογικό Μουσείο Ιωαννίνων","Archaeological Museum of Ioannina","20.855915","39.666621"
"Αρχαιολογικό Μουσείο Ηρακλείου","Heraklion Archaeological Museum","25.136933","35.338774"
"Μουσείο και Κέντρο Μελέτης του Ελληνικού Θεάτρου","Museum and Study Centre of the Greek Theatre","23.735305","37.981519"
"Μουσείο Ζυγομαλά","Zygomalas Museum","23.700036","38.247672"
"Αρχαιολογικό Μουσείο Θεσσαλονίκης","Archaeological Museum of Thessaloniki","22.952775","40.62572"
"Ιστορικό - Λαογραφικό και Φυσικής Ιστορίας Μουσείο Κοζάνης","Historical - Folklore and Natural History Museum of Kozani","22.94467","40.635039"
"Βυζαντινή και Μεταβυζαντινή Συλλογή Χανίων","Byzantine and Postbyzantine Collection of Chania","24.01515","35.518539"
"Μουσείο Σολωμού και Επιφανών Ζακυνθίων","Museum of Dionysios Solomos and Eminent Zakynthians","20.898617","37.788488"
"Εκκλησιαστικό Μουσείο Σιάτιστας","Ecclesiastical Museum of Siatista","21.550434","40.261614"
"Μουσειακός Χώρος Τράπεζας Νέας Μονής Χίου","Refectory of Nea Moni Chios","26.056088","38.3742"
"Αρχαιολογικό Μουσείο Ηγουμενίτσας","Archaeological Museum of Igoumenitsa","20.258778","39.511407"
"Μουσείο της Ελιάς και του Ελληνικού Λαδιού","Museum of the Olive and Greek Olive Oil","22.433422","37.075557"
"Επιγραφικό Μουσείο","Epigraphic Museum","23.732011","37.988623"
"Βυζαντινό και Χριστιανικό Μουσείο","Byzantine and Christian Museum","23.74455","37.975409"
"Ιστορικό - Λαογραφικό Μουσείο Γαβαλοχωρίου","Historical - Folklore Museum of Gavalochori","24.21123","35.424328"
"Ναυτικό Μουσείο Γαλαξειδίου","Nautical Museum of Galaxidi","22.385727","38.376397"
"Μουσείο Γουναρόπουλου","Gounaropoulos Museum","23.761582","37.97487"
"Λαογραφικό Μουσείο του Πνευματικού Ιδρύματος Σάμου Νικολάου Δημητρίου","Folklore Museum of the Nikolaos Dimitriou Foundation of Samos","26.929132","37.689798"
"Αρχαιολογικό Μουσείο Βραυρώνας","Archaeological Museum of Brauron","23.997088","37.924545"
"Μουσείο Μακεδονικού Αγώνα","Museum of Macedonian Struggle","22.943669","40.630602"
"Αρχαιολογική Έκθεση στο σταθμό ΜΕΤΡΟ \"Ακρόπολις\"","Archaeologcal Exhibition in the METRO Station \"Akropolis\"","23.72961","37.968738"
"Κέντρο Μελετών Ακροπόλεως","Centre for the Acropolis Studies","23.728865","37.968969"
"Ναυτικό Μουσείο Ελλάδoς","Hellenic Maritime Museum","23.646135","37.932563"
"Ιστορικό -  Λαογραφικό Μουσείο Ρεθύμνου","Historical and Folklore Museum of Rethymno","24.473539","35.369223"
"Σιδηροδρομικό Μουσείο Αθηνών","Railway Museum of Athens","23.720496","38.009975"
"Αρχαιολογικό Μουσείο Πειραιά","Archaeological Museum of Piraeus","23.644321","37.936885"
"Αρχαιολογικό Μουσείο Θηβών","Archaeological Museum of Thebes","23.317063","38.323814"
"Βυζαντινό Μουσείο Χίου","Chios Byzantine Museum","26.136158","38.370579"
"Μουσείο Σπετσών","Spetses Museum","23.155811","37.264307"
"Μουσείο Ιστορίας της Ελληνικής Ενδυμασίας","Museum of the History of the Greek Costume","23.737592","37.978809"
"Αρχοντικό Παύλου Κουντουριώτη","Pavlos Kountouriotis Mansion","23.463487","37.351004"
"Αρχαιολογικό Μουσείο Κιλκίς","Archaeological Museum at Kilkis","22.874125","40.993306"
"Πελοποννησιακό Λαογραφικό Ίδρυμα ''Βασίλειος Παπαντωνίου''","","22.798862","37.566619"
"Λασκαρίδειο Λαογραφικό Μουσείο","Laskarideio Folklore Museum","22.742745","37.586544"
"Μουσείο Φυσικής Ιστορίας Γουλανδρή","The Goulandris Museum of Natural History","23.81495","38.074348"
"Αρχαιολογικό Μουσείο Αβδήρων","Archaeological Museum of Abdera","24.953926","40.980724"
"Αρχαιολογικό Μουσείο Λαμίας","Archaeological Museum of Lamia","22.435188","38.904442"
"Αρχαιολογικό Μουσείο Αταλάντης","Archaeological Museum of Atalanti","23.00084","38.652393"
"Αρχαιολογική Συλλογή Τιθορέας","Archaeological Collection of Tithorea","22.669525","38.583702"
"Ορυκτολογικό Μουσείο Λαυρίου","Mineralogical Museum of Laurion","24.051133","37.716329"
"Λευκός Πύργος: Μουσείο","White Tower: Museum","22.948378","40.626355"
"Βυζαντινό Μουσείο Καστοριάς","Byzantine Museum of Kastoria","21.26864","40.519264"
"Μουσείο  Ελληνικών Λαϊκών Μουσικών Οργάνων  \"Φοίβος Ανωγειανάκης\" Κέντρο Εθνομουσικολογίας","Museum of Greek Folk Musical Instruments “Fivos Anoyanakis”- Centre for Ethnomusicology","23.728888","37.974101"
"Αρχαιολογικό Μουσείο Δελφών","Delphi Archaeological Museum","22.499796","38.480211"
"Αρχαιολογικό Μουσείο Άργους","Archaeological Museum of Argos","22.726915","37.634504"
"Αρχαιολογικό Μουσείο Φλώρινας","Archaeological Museum of Florina","21.413834","40.780825"
"Αρχαιολογικό Μουσείο Δράμας","Archaeological Museum of Drama","24.143258","41.147977"
"Αρχαιολογικό Μουσείο Κω","Archaeological Museum of Kos","27.288593","36.893526"
"Αρχαιολογικό Μουσείο Λήμνου στη Μύρινα","Archaeological Museum of Lemnos in Myrina","25.062395","39.880241"
"Κοργιαλένειο Ιστορικό και Λαογραφικό Μουσείο","Korgialeneio Historical and Folklore Museum","20.487214","38.176771"
"Λαογραφικό - Ιστορικό Μουσείο Λάρισας","Folklore and Historical Museum of Larisa","22.422521","39.6277"
"Αρχαιολογικό Μουσείο Άμφισσας","Amfissa Archaeological Museum","22.375867","38.527565"
"Αρχαιολογική Συλλογή Γαλαξιδίου","Galaxidi Archaeological Collection","22.385805","38.376385"
"Αρχαιολογική Συλλογή Λιδορικίου","Archaeological Collection of Lidoriki","22.205241","38.527437"
"Αρχαιολογικό Μουσείο Κέρκυρας","Archaeological Museum of Corfu","19.921573","39.619171"
"Μουσείο Nεώτερης Kεραμικής","Museum of Modern Ceramics","23.719844","37.978238"
"Κέντρο Μελέτης Νεώτερης Κεραμικής","Centre for the Study of Traditional Pottery","23.719849","37.978257"
"Αρχαιολογικό Μουσείο Κομοτηνής","Archaeological Museum of Komotini","25.399505","41.116134"
"Φιλοτελικό Μουσείο","Philatelic Museum","23.716567","37.97649"
"Μουσείο Σύγχρονης Τέχνης Φλώρινας","Florina Museum of Modern Art","21.404618","40.77747"
"Αρχαιολογικό Μουσείο Ελευσίνας","Archaeological Museum of Eleusis","23.537579","38.040609"
"Αρχαιολογικό Μουσείο Χαιρώνειας","Archaeological Museum of Chaironeia","22.845817","38.493743"
"Μουσείο Χαρακτικής και Γραφικών Τεχνών","Museum of Engravings and Graphic Arts","23.730085","37.974204"
"Αρχαιολογικό Μουσείο Μυστρά","Archaeological Museum of Mystras","22.369092","37.076427"
"Αρχαιολογικό Μουσείο Χίου","Archaeological Museum of Chios","26.139023","38.365065"
"Μουσείο Έργων Θεόφιλου","Museum of Works by Theophilos","26.567994","39.081283"
"Αρχαιολογική Συλλογή Κάμπου Ικαρίας","Archaeological Collection of Kamπos Ikarias","26.14538","37.631125"
"Αρχαιολογικό Μουσείο Καβάλας","Archaeological Museum of Kavala","24.41589","40.93709"
"Μουσείο Καζαντζάκη","Kazantzakis Museum","25.209472","35.234865"
"Μουσείο Θυσίας Καλαβρυτινών","Museum of the Sacrifice of the People of Kalavryta","22.110465","38.032926"
"Αρχαιολογικό Μουσείο Μεσσηνίας","Archaeological Museum of Messenia","22.113268","37.043729"
"Μουσείο Καποδίστρια","Capodistrias Museum","19.857472","39.629722"
"Αρχαιολογικό Μουσείο Κεραμεικού","Archaeological Museum of Kerameikos","23.716933","37.977974"
"Δημοτική Πινακοθήκη Κερκύρας","Municipal Gallery of Corfu","19.922609","39.620574"
"Μουσείο Καλαθοπλεκτικής των Ρωμά","Basketry Museum of Komotini","25.409692","41.114096"
"Ιστορικό - Λαογραφικό Μουσείο Κορίνθου","Historical and Folklore Museum of Corinth","22.930626","37.935901"
"Μουσείο Κοσμήματος Ηλία Λαλαούνη","Ilias Lalaounis Jewelry Museum","23.726638","37.969294"
"Μουσείο Μαρίκας Κοτοπούλη","Marika Kotopouli Museum","23.769599","37.97982"
"Ιστορικό Μουσείο Κρήτης","Historical Museum of Crete","25.131177","35.342037"
"Αρχαιολογική Συλλογή Ελάτειας","Archaeological Collection of Elateia","22.765774","38.62803"
"Αρχαιολογικό Μουσείο Πέλλας","Archaeological Museum of Pella","22.519679","40.762025"
"Αρχαιολογικό Μουσείο Ναυπλίου","Archaeological Museum of Nafplion","22.796178","37.566081"
"Αρχαιολογικό Μουσείο Καστελλόριζου","Kastellorizo Archaeological Museum","29.593574","36.151533"
